trial,loss,srsa_euclidean,srsa_geodesic,decode_error,participation_ratio,spatial_info,fraction_tuned,sw_dist,rdm_frobenius_delta,aliasing_score,geo_euclidean_discrepancy,betti_0,betti_1,persistence_gap_ratio_dim1,betti_correct,replay_fraction_consistent,replay_forward_reverse_ratio
100,0.07292143255472183,0.26465193644928503,0.26778029457501135,8.308204650878906,2.3393189111711195,0.008376188576221466,0.65234375,0.0046039847657084465,0.0,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.9607843137254902
200,0.0692591741681099,0.3078950182384359,0.31474951866366013,8.189945220947266,1.3173851974456385,0.04702400043606758,0.62109375,0.006187114864587784,4.9190721831562145,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.949317738791423
300,0.061647914350032806,0.3008916063483848,0.3073695355325405,8.24264907836914,1.2870989550004728,0.05370121821761131,0.6015625,0.005663132760673761,0.26523556512992025,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.968503937007874
400,0.045348457992076874,0.3006137549754252,0.30797908918074385,8.158658981323242,1.4202839644928371,0.08277153968811035,0.51171875,0.008025144226849079,0.5205784889065445,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0242914979757085
500,0.05328946188092232,0.2985731825710548,0.3060036924877611,8.11851978302002,1.5059398848971792,0.08245742321014404,0.4453125,0.00814822781831026,0.109923205584114,0.6385644325607308,1.2498571872711182,1,45,1.0473423045446542,False,1.0,1.0040080160320641
600,0.05245339870452881,0.30353010577523754,0.31079931522785875,8.16099739074707,1.5907565154659178,0.06285315752029419,0.453125,0.015008978545665741,0.2658390008156198,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.02020202020202
700,0.06293809413909912,0.21607672376002832,0.22556168379033795,8.065810203552246,2.0814678139489176,0.06228679418563843,0.41015625,0.012545755133032799,0.42077079926659405,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.941747572815534
800,0.0560336709022522,0.28286881837029787,0.2923719526682638,8.097293853759766,1.8134802096218348,0.07005949318408966,0.359375,0.009145386517047882,0.5089181409323382,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.032520325203252
900,0.04162139073014259,0.3166775846764171,0.3219614448126319,8.121210098266602,1.7958596962462037,0.12427407503128052,0.30078125,0.024534912779927254,0.6979354749043293,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.953125
1000,0.049837905913591385,0.3016499815652884,0.3110696563796165,8.046408653259277,1.7853119605300234,0.09646385908126831,0.30078125,0.016696279868483543,0.2998897243486594,0.6385644325607308,1.2498571872711182,1,56,1.230024370857447,False,1.0,0.9960079840319361
1100,0.0462271049618721,0.306264792491719,0.31461650440979,8.043365478515625,1.8789018973415619,0.09514154493808746,0.2890625,0.02068040892481804,0.11504654381160054,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.9960079840319361
1200,0.0535627044737339,0.28840249971253606,0.2969178757121432,8.06789493560791,2.163774588085034,0.10321003198623657,0.2421875,0.03241097182035446,0.21782312114445776,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0366598778004072
1300,0.03959925100207329,0.29561328040447415,0.30570947158683537,8.079731941223145,2.080474567099311,0.1165667325258255,0.2109375,0.0213992428034544,0.23732055404528493,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.9801980198019802
1400,0.05273842066526413,0.2764528006589765,0.2866333048248401,8.046066284179688,2.2535291620855236,0.08645319938659668,0.22265625,0.020649056881666183,0.30917922475246307,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0366598778004072
1500,0.04531751200556755,0.28295772693073884,0.2938242684276128,8.044198036193848,2.386327415814837,0.08895566314458847,0.21484375,0.02114391326904297,0.1444832983891864,0.6385644325607308,1.2498571872711182,1,66,1.1941033921578599,False,1.0,0.9762845849802372
1600,0.049787141382694244,0.27566272025372895,0.28486648505452844,8.140022277832031,2.811146417738422,0.07850272953510284,0.2109375,0.027530169114470482,0.17959105294165864,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0040080160320641
1700,0.03813508525490761,0.2927244015090832,0.3033398218574951,8.059287071228027,2.3291121503451535,0.09291751682758331,0.18359375,0.025264309719204903,0.22690986071999716,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.028397565922921
1800,0.04738128185272217,0.27659912534625947,0.2860168340921246,8.109665870666504,3.0883346085861105,0.08218720555305481,0.171875,0.04313063248991966,0.26276209638442855,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0618556701030928
1900,0.04557649418711662,0.2745452005557559,0.28457117330719534,8.016422271728516,2.661678005806985,0.08722487092018127,0.1484375,0.052895233035087585,0.16859248016969178,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.9801980198019802
2000,0.03564006835222244,0.27914524815754144,0.29040364527229046,8.089016914367676,2.7346168974756266,0.07652023434638977,0.16796875,0.026547955349087715,0.24421690819699862,0.6385644325607308,1.2498571872711182,1,76,1.549408701808341,False,1.0,0.968503937007874
2100,0.04302927479147911,0.3011553236556021,0.3095818541877966,8.023622512817383,2.789093487158104,0.08382904529571533,0.16015625,0.0305206086486578,0.25694861757932924,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0576131687242798
2200,0.03509169816970825,0.30818585807430376,0.31751334331387315,8.012016296386719,2.9961771967381625,0.06113285571336746,0.16015625,0.03144615888595581,0.3532943960737283,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.02020202020202
2300,0.0439322255551815,0.3275487961230966,0.33404799941170243,8.011687278747559,3.033644049951788,0.07325440645217896,0.15234375,0.031049979850649834,0.39207330808567653,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0080321285140563
2400,0.04616112262010574,0.32127883012108915,0.3287305781193272,8.012365341186523,2.790869253454037,0.07767605781555176,0.15625,0.045206330716609955,0.1636988566888634,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.968503937007874
2500,0.0378635972738266,0.3264853212841656,0.3332455185462674,7.950344085693359,3.046884125576204,0.06605808436870575,0.16796875,0.028625790029764175,0.24272769896320714,0.6385644325607308,1.2498571872711182,1,92,1.192530493775049,False,1.0,0.9193857965451055
2600,0.04532274231314659,0.30812692472575265,0.3141928937351373,7.841465473175049,3.5449164712221757,0.07482632994651794,0.140625,0.03580264374613762,0.2525223004669531,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.9801980198019802
2700,0.03842391446232796,0.34536279759020727,0.35050979189596815,7.8573126792907715,2.8952788248586656,0.07650778442621231,0.1484375,0.03245668113231659,0.21488825438532305,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0408163265306123
2800,0.04080694168806076,0.35044670040509573,0.3537263319939466,7.765990257263184,3.144879724757187,0.07784336060285568,0.13671875,0.04711766541004181,0.17510725018169546,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0080321285140563
2900,0.04536968469619751,0.3284616365093149,0.3319893548792132,7.662045478820801,3.676949944633837,0.08852403610944748,0.1171875,0.05266023799777031,0.26634795133694633,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0408163265306123
3000,0.04305736720561981,0.3394922506529832,0.3425102696277278,7.747306823730469,3.6392270483354636,0.09311480075120926,0.11328125,0.06765751540660858,0.1817320362241133,0.6385644325607308,1.2498571872711182,1,89,1.0596576899964263,False,1.0,1.0491803278688525
3100,0.039717841893434525,0.3492457970385122,0.3498896485010943,7.759545803070068,4.436595798514361,0.07088244706392288,0.12109375,0.05822142958641052,0.3341091137367381,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.9723865877712031
3200,0.043441291898489,0.3419482690628817,0.34462209505694985,7.773092746734619,3.899881365824186,0.0814843475818634,0.11328125,0.059572044759988785,0.2538436187717569,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.9646365422396856
3300,0.037693917751312256,0.343166475670947,0.34457944541105157,7.740169525146484,4.235195548967874,0.08465989679098129,0.109375,0.0805027186870575,0.2127704990577339,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.9960079840319361
3400,0.048592060804367065,0.3397352186392601,0.34244234028827614,7.776654243469238,5.1534861823115,0.07632637768983841,0.1015625,0.09628938138484955,0.2106008218311882,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.053388090349076
3500,0.034229960292577744,0.3489891877661329,0.3499158329402963,7.565577507019043,4.553352496300077,0.08460424840450287,0.1015625,0.06618393212556839,0.23832637845305285,0.6385644325607308,1.2498571872711182,1,86,1.0284391760918719,False,1.0,0.9841269841269841
3600,0.04279647395014763,0.33901973696477605,0.34146848900767596,7.484138011932373,4.999051759978888,0.08916812390089035,0.09375,0.05963030084967613,0.2334889323361261,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.953125
3700,0.04825472831726074,0.3580913159960092,0.35933580102715174,7.621728897094727,5.145040638356377,0.08321929723024368,0.1015625,0.07199610769748688,0.1919704432002762,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0040080160320641
3800,0.0370539128780365,0.36330414724439275,0.3631238085041536,7.523922443389893,4.904044894748882,0.08644009381532669,0.10546875,0.07564254105091095,0.16781782875812046,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0366598778004072
3900,0.03558759391307831,0.3557502192515152,0.35676623718133044,7.417307376861572,5.112112538488476,0.09126907587051392,0.1015625,0.07992848753929138,0.17479850839618086,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.9762845849802372
100,100,800,0.07049612049013376,0.29122832738589266,0.2967050556356713,8.21955394744873,1.392761948973834,0.02560541033744812,0.65234375,0.003956212662160397,0.0,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0080321285140563
